Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2003,143,1266,77,1338,74,N,0,28,54,6,12,15,22,10,18,16,10,7,3,18,29,55,4,14,12,15,10,20,18,12,6,4,19
2003,145,1266,83,1246,69,N,0,31,55,10,19,11,15,10,26,21,15,6,6,22,25,64,4,16,15,24,20,16,14,11,10,2,19
2003,134,1421,92,1411,84,N,1,32,69,11,29,17,26,14,30,17,12,5,3,22,29,67,12,31,14,31,17,28,16,15,5,0,22
2003,139,1268,77,1462,64,N,0,30,58,3,13,14,17,7,32,19,8,2,6,21,20,57,7,18,17,24,8,20,12,7,2,0,16
2003,136,1163,58,1140,53,N,0,17,52,4,14,20,27,12,29,8,14,3,8,16,20,64,2,17,11,13,15,26,11,11,8,4,22
2003,138,1242,108,1113,76,N,0,40,59,5,9,23,34,12,28,21,13,6,6,20,28,69,4,15,16,23,17,14,11,11,7,5,21
2003,136,1458,81,1451,74,N,0,31,58,6,16,13,22,10,24,16,9,7,2,16,29,71,7,24,9,15,22,21,9,10,4,0,20
2003,136,1323,70,1454,69,N,0,23,54,3,13,21,25,11,33,7,20,6,6,19,23,66,8,23,15,20,14,23,15,12,11,3,25
2003,137,1329,77,1335,63,N,0,27,50,7,20,16,28,10,15,15,11,12,0,17,20,41,8,18,15,16,2,13,17,18,5,0,20
2003,152,1242,94,1266,61,N,0,38,71,8,19,10,17,19,33,22,12,8,5,15,23,74,3,16,12,18,21,18,7,11,7,3,17
2003,144,1400,82,1163,78,N,0,24,69,5,18,29,36,21,31,13,10,5,5,21,30,71,4,13,14,25,14,27,13,11,7,8,21
2003,136,1242,64,1429,61,N,0,28,51,2,6,6,11,7,20,13,11,8,4,17,23,56,6,17,9,10,13,19,13,13,6,1,15
2003,138,1458,61,1409,60,N,0,22,57,6,22,11,17,10,22,12,5,5,3,11,26,59,3,11,5,5,11,30,12,11,1,3,16
2003,136,1328,71,1354,54,N,0,24,52,10,18,13,24,11,24,16,14,8,3,12,21,52,6,20,6,8,7,22,8,18,7,2,23
2003,138,1163,85,1390,74,N,0,31,68,6,10,17,21,17,26,12,9,4,1,13,27,62,8,23,12,17,11,22,12,11,2,6,18
2003,143,1242,69,1181,65,N,0,29,67,1,12,10,17,18,29,14,17,4,5,16,25,65,10,26,5,8,11,22,11,14,6,7,18
2003,136,1141,79,1166,73,N,0,29,53,3,7,18,25,11,20,15,18,13,1,19,27,60,7,17,12,17,14,17,20,21,6,6,21
2003,137,1120,65,1386,63,N,1,25,57,7,18,8,13,14,24,11,15,4,5,16,22,59,6,24,13,16,15,21,11,12,8,4,19
2003,143,1112,88,1323,71,N,0,36,76,7,14,9,11,14,30,19,10,12,5,17,25,59,10,23,11,18,9,27,15,19,6,4,16
2004,137,1329,75,1186,56,N,0,30,55,2,6,13,16,11,26,15,15,12,5,16,21,59,3,19,11,13,12,15,19,14,8,2,15
2004,138,1386,70,1403,65,N,0,27,57,12,31,4,5,11,20,13,13,4,0,16,25,53,3,12,12,14,9,20,16,9,7,2,11
2004,144,1210,72,1305,67,N,0,27,63,6,18,12,22,13,36,10,16,9,5,22,22,69,5,20,18,24,16,29,5,11,4,3,22
2004,144,1242,100,1412,74,N,0,30,56,4,10,36,44,10,35,21,17,9,3,19,23,71,8,33,20,24,14,19,12,12,13,4,27
2004,139,1329,70,1272,53,N,0,28,47,5,12,9,17,14,20,18,17,8,1,16,20,50,6,17,7,14,11,11,9,12,6,3,15
2004,145,1163,87,1104,71,N,0,29,60,10,17,19,29,15,25,17,7,3,7,18,25,60,6,19,15,18,12,21,14,9,2,5,23
2004,154,1163,82,1210,73,N,0,26,61,5,17,25,39,18,32,10,16,5,2,18,27,71,7,22,12,21,18,25,9,14,10,1,26
