Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2010,153,3390,73,3328,66,N,0,27,69,1,15,18,27,18,35,13,7,7,3,12,26,68,4,17,10,16,12,29,7,9,4,4,19
2010,147,3390,55,3462,53,H,0,20,57,4,18,11,14,10,29,13,12,2,3,13,23,60,1,14,6,11,11,28,11,12,8,2,17
2010,138,3124,69,3201,55,N,0,28,57,1,5,12,19,13,24,22,12,6,2,12,21,61,10,34,3,5,17,19,12,18,4,1,18
2010,141,3304,83,3417,70,N,0,25,45,8,15,25,38,9,19,21,17,4,2,12,28,62,5,13,9,10,15,19,16,19,11,2,26
2010,138,3208,64,3408,59,N,0,21,50,6,15,16,24,16,31,15,23,7,7,12,23,69,10,35,3,8,17,17,11,12,11,3,20
2010,140,3211,72,3401,71,N,0,26,59,6,12,14,18,11,26,15,17,11,8,12,30,66,3,10,8,15,15,26,16,18,15,8,16
2010,139,3114,63,3210,53,N,0,20,47,6,13,17,26,9,26,15,17,11,2,14,23,62,1,7,6,8,15,23,7,16,9,4,20
2010,138,3385,65,3343,47,N,0,27,59,1,10,10,18,14,28,7,12,11,1,14,17,60,1,10,12,15,16,25,9,16,5,3,15
2010,139,3396,65,3241,53,N,0,24,57,6,17,11,16,10,25,11,17,10,7,12,21,59,4,18,7,15,17,27,9,21,11,1,14
2010,153,3163,70,3124,50,N,0,28,67,3,17,11,19,14,25,20,7,6,3,15,17,45,1,7,15,20,6,28,11,21,5,5,17
2010,146,3328,77,3323,72,N,1,30,70,7,14,10,11,15,29,21,17,7,5,14,27,63,3,8,15,17,8,25,14,12,11,5,14
2010,138,3261,60,3216,39,N,0,18,56,1,7,23,30,20,29,9,14,7,4,9,16,54,3,17,4,7,11,25,12,17,7,5,20
2010,141,3163,90,3396,36,N,0,34,55,12,17,10,13,10,37,22,15,8,11,8,14,60,5,24,3,9,14,13,10,15,12,0,16
2010,138,3390,79,3415,47,H,0,27,61,6,19,19,25,16,28,11,8,6,1,11,19,50,6,22,3,10,6,23,9,15,1,2,16
2010,140,3199,66,3385,65,H,1,25,58,6,16,10,12,14,21,17,21,7,6,20,24,62,0,4,17,24,18,18,11,16,7,2,14
2010,145,3181,66,3361,58,N,0,24,59,2,9,16,22,19,23,12,23,23,3,14,20,53,9,25,9,11,10,18,11,26,11,6,15
2010,138,3199,75,3256,61,H,0,25,63,3,15,22,26,20,27,13,17,8,3,21,21,62,2,20,17,22,16,21,13,16,5,4,24
2010,139,3163,95,3380,39,N,0,32,52,9,16,22,26,12,40,27,21,10,7,9,15,65,5,26,4,7,12,10,7,15,8,3,18
2010,145,3124,77,3397,62,A,0,26,53,3,7,22,25,6,35,18,12,2,13,12,25,76,5,16,7,15,19,23,13,8,5,3,17
2011,139,3345,53,3243,45,N,0,17,42,5,14,14,16,4,23,9,13,6,6,9,19,63,6,23,1,2,20,22,6,16,3,0,15
2011,140,3326,67,3210,60,H,0,25,42,3,10,14,18,5,26,15,21,7,6,8,28,72,2,17,2,2,18,16,10,13,14,1,20
2011,146,3163,68,3207,63,N,0,24,62,8,24,12,17,19,25,20,18,8,2,10,24,62,10,27,5,10,16,21,13,16,9,5,17
2011,146,3181,70,3177,63,N,0,24,62,1,10,21,29,19,24,14,13,11,2,16,22,55,9,21,10,14,11,23,15,19,7,5,23
2011,141,3257,85,3462,75,A,0,28,53,9,16,20,25,8,20,11,12,20,4,16,27,54,14,30,7,12,10,18,19,24,7,8,19
2011,147,3323,73,3397,59,N,0,25,56,5,11,18,22,10,24,17,16,11,1,16,22,67,4,19,11,17,22,24,11,19,8,0,20
2011,155,3401,76,3323,70,N,0,29,53,2,7,16,23,10,22,14,18,8,4,21,24,52,2,10,20,26,11,18,10,16,10,3,19
2011,145,3397,85,3326,75,N,0,36,77,3,8,10,16,20,26,20,9,5,3,12,31,62,7,16,6,8,5,24,20,13,3,9,17
2011,140,3390,75,3385,49,H,0,31,58,6,16,7,11,13,28,19,13,3,6,8,22,60,1,7,4,7,11,14,11,9,7,1,14
2011,153,3401,63,3390,62,N,0,23,65,7,20,10,10,13,16,10,12,7,5,19,23,46,3,6,13,19,10,29,13,22,8,8,18
2011,141,3328,88,3274,83,N,0,29,68,11,29,19,22,17,28,22,18,8,2,14,32,73,8,23,11,15,15,24,16,15,9,3,20
2011,138,3246,66,3214,62,N,1,22,64,8,19,14,19,15,25,14,13,8,6,17,23,63,6,15,10,13,17,28,11,17,4,6,16
2011,139,3199,76,3359,46,N,0,26,55,5,11,19,28,16,36,15,16,5,0,19,14,52,5,19,13,19,7,16,7,12,3,2,21
2011,139,3257,81,3435,62,N,0,30,50,8,19,13,14,9,26,20,20,10,2,11,25,57,7,18,5,6,7,12,15,14,12,3,15
2011,140,3323,77,3396,64,N,0,28,54,5,11,16,25,12,30,21,19,9,7,20,22,61,8,13,12,25,15,19,9,15,12,1,19
2011,138,3210,69,3132,58,N,0,27,58,2,9,13,18,16,16,11,16,13,3,18,20,43,2,6,16,18,9,18,5,25,5,3,16
2011,139,3207,65,3343,49,N,0,23,57,8,21,11,15,12,19,9,8,5,5,15,16,43,4,18,13,16,9,24,11,18,5,2,14
2011,148,3401,58,3124,46,A,0,21,61,2,17,14,20,12,24,9,13,11,2,16,15,48,1,6,15,25,12,27,7,20,2,4,18
2011,138,3336,75,3173,66,H,0,27,66,3,12,18,21,12,30,10,13,10,3,9,27,64,10,23,2,5,9,28,16,22,3,0,17
2012,139,3328,88,3276,67,N,0,34,69,10,29,10,18,15,28,22,8,10,2,13,25,58,8,23,9,14,7,26,11,14,4,2,15
2012,145,3397,84,3242,73,N,0,29,66,5,18,21,24,16,25,15,8,6,1,12,31,66,4,14,7,11,11,21,13,9,4,2,15
2012,139,3196,70,3326,65,N,0,26,74,9,21,9,13,20,26,14,10,3,2,12,28,59,4,11,5,10,6,29,13,13,7,11,12
2012,141,3385,74,3328,70,N,0,27,65,4,10,16,19,11,20,14,8,7,2,21,23,48,4,11,20,24,8,29,16,19,3,4,17
2012,138,3268,59,3298,44,H,0,22,58,4,10,11,14,12,34,13,11,5,1,9,18,59,6,25,2,2,7,26,10,10,4,1,13
2012,138,3453,71,3235,57,A,0,25,57,11,29,10,13,6,16,17,13,20,2,20,17,37,9,21,14,19,7,27,13,30,6,2,16
2012,145,3181,74,3385,47,N,0,29,54,4,13,12,16,8,27,17,15,15,5,11,20,58,2,12,5,7,12,19,15,19,7,1,12
2012,139,3143,84,3234,74,N,0,30,66,3,16,21,30,19,22,18,11,13,4,16,30,59,5,14,9,10,7,22,18,18,9,4,21
2012,139,3385,69,3166,67,N,0,24,48,2,4,19,25,9,25,9,16,9,3,12,24,53,7,21,12,12,4,20,17,14,10,2,16
2012,141,3124,76,3196,57,N,0,24,55,4,10,24,33,17,26,14,15,9,7,12,23,70,4,19,7,12,24,19,14,18,9,4,23
2012,153,3124,59,3390,47,N,0,19,52,2,8,19,26,13,29,8,7,4,2,9,20,60,2,17,5,7,12,22,8,8,3,5,17
2012,139,3181,82,3359,47,N,0,28,54,4,11,22,25,10,31,15,13,6,4,14,17,53,7,25,6,7,6,17,9,18,5,3,16
2012,141,3181,96,3435,80,N,0,42,64,7,11,5,7,11,19,28,13,11,5,16,29,62,12,26,10,15,17,12,15,18,6,2,12
2012,147,3390,81,3181,69,N,0,30,60,7,18,14,20,12,24,21,11,9,2,13,25,63,3,14,16,16,13,22,10,11,5,1,18
2012,140,3390,72,3452,55,N,0,23,54,3,12,23,30,9,28,13,6,6,8,15,19,61,4,18,13,16,15,26,9,13,3,3,23
2012,139,3124,81,3364,40,N,0,27,46,4,8,23,36,12,28,15,13,6,5,11,16,60,2,14,6,7,15,15,9,16,4,1,25
2012,138,3390,73,3214,51,N,0,29,50,6,12,9,14,8,36,21,19,5,7,15,20,63,2,12,9,17,10,15,8,6,14,1,11
2012,138,3246,68,3270,62,N,0,25,63,2,17,16,28,22,36,15,20,6,8,25,21,70,2,9,18,25,18,22,9,13,12,2,21
2012,139,3261,64,3361,56,N,0,18,47,2,9,26,35,12,31,12,10,1,3,16,22,55,5,17,7,20,11,21,9,9,7,3,27
2013,139,3336,85,3142,55,N,0,34,72,4,9,13,18,17,35,15,13,7,7,15,19,68,2,12,15,21,16,24,9,13,7,2,16
2013,138,3401,71,3455,45,H,0,26,55,3,10,16,18,14,27,22,12,4,3,13,18,55,3,17,6,8,9,16,7,12,6,3,16
2013,139,3173,96,3385,90,A,2,39,79,10,22,8,12,12,29,17,16,8,3,21,33,72,5,10,19,21,10,31,17,17,8,6,17
2013,138,3328,78,3141,73,N,0,25,53,9,19,19,22,11,37,15,24,5,5,14,26,84,8,33,13,19,23,19,10,7,12,4,16
2013,138,3268,72,3346,52,H,0,28,66,2,13,14,20,16,43,16,25,11,3,17,17,74,8,27,10,13,16,25,11,18,15,3,21
2013,153,3257,64,3143,57,N,0,21,47,8,21,14,19,6,20,12,14,8,4,13,26,59,4,15,1,7,17,21,8,19,8,2,19
2013,147,3143,65,3208,62,N,1,24,70,5,21,12,24,26,28,7,9,5,5,12,23,63,4,17,12,18,16,25,9,11,7,3,19
2013,141,3257,76,3345,63,H,0,27,58,7,17,15,21,16,22,15,21,14,3,13,24,57,4,16,11,13,12,20,12,22,13,3,16
2013,140,3397,68,3166,52,H,0,23,47,6,10,16,19,8,21,13,14,13,5,11,18,56,4,22,12,13,17,18,11,19,6,0,16
2013,138,3435,60,3386,54,N,0,22,59,2,12,14,22,18,29,13,15,4,1,18,19,55,1,15,15,17,8,24,12,11,5,3,19
